startdate,enddate,durationinseconds,q1_1,q2_1,q3_1,q4_1,q5
30/11/2022 02:12,30/11/2022 02:16,210,15,14,0,4,Yes
30/11/2022 03:43,30/11/2022 03:46,144,30,7,20,5,Yes
30/11/2022 03:47,30/11/2022 04:08,1281,40,15,60,10,Yes
30/11/2022 05:44,30/11/2022 05:46,74,20,7,40,10,Yes
30/11/2022 06:40,30/11/2022 06:42,143,51,17,100,20,Yes
30/11/2022 07:32,30/11/2022 07:33,65,70,10,10,5,Yes
30/11/2022 07:43,30/11/2022 07:45,104,10,9,,3,Yes
30/11/2022 08:13,30/11/2022 08:17,236,20,7,51,1,Yes
30/11/2022 08:49,30/11/2022 08:51,95,29,7,86,23,Yes
30/11/2022 08:49,30/11/2022 08:51,148,30,17,70,25,Yes
30/11/2022 09:39,30/11/2022 09:41,106,40,11,20,10,Yes
30/11/2022 09:54,30/11/2022 09:55,97,21,8,69,10,Yes
30/11/2022 09:54,30/11/2022 10:04,601,50,17,70,30,Yes
30/11/2022 07:46,30/11/2022 10:59,11604,60,21,10,1,Yes
30/11/2022 09:05,30/11/2022 11:27,8529,80,7,50,8,Yes
30/11/2022 12:22,30/11/2022 12:25,153,24,,25,20,No
30/11/2022 07:47,30/11/2022 12:26,16740,25,7,33,5,Yes
30/11/2022 12:23,30/11/2022 12:32,569,20,14,21,15,Yes
30/11/2022 12:31,30/11/2022 12:36,277,75,14,10,5,Yes
30/11/2022 12:34,30/11/2022 12:38,235,20,15,20,17,Yes
30/11/2022 13:23,30/11/2022 13:24,88,20,12,80,10,Yes
30/11/2022 13:22,30/11/2022 13:30,468,60,6,41,20,Yes
30/11/2022 13:27,30/11/2022 13:31,237,35,17,90,20,Yes
30/11/2022 14:24,30/11/2022 14:26,76,90,7,60,10,Yes
30/11/2022 14:24,30/11/2022 14:27,191,60,7,30,,Yes
30/11/2022 14:30,30/11/2022 14:33,137,24,12,36,12,Yes
30/11/2022 14:51,30/11/2022 14:53,127,60,7,50,6,Yes
30/11/2022 14:51,30/11/2022 14:54,145,9,15,5,25,Yes
30/11/2022 15:05,30/11/2022 15:08,196,80,7,100,5,Yes
30/11/2022 13:32,30/11/2022 15:12,6030,10,12,25,5,Yes
30/11/2022 17:44,30/11/2022 17:47,171,60,9,90,11,Yes
30/11/2022 12:28,30/11/2022 18:23,21324,70,6,8,10,Yes
30/11/2022 20:52,30/11/2022 20:58,365,51,16,28,10,Yes
30/11/2022 21:19,30/11/2022 21:21,124,10,7,67,10,Yes
30/11/2022 23:11,30/11/2022 23:17,392,50,10,40,30,Yes
30/11/2022 23:18,30/11/2022 23:20,118,70,7,60,20,Yes
01/12/2022 02:15,01/12/2022 02:54,2381,20,21,2,20,Yes
01/12/2022 05:59,01/12/2022 06:02,150,85,10,15,5,Yes
01/12/2022 08:47,01/12/2022 08:49,111,10,6,40,10,Yes
01/12/2022 10:14,01/12/2022 10:18,242,40,4,15,5,Yes
01/12/2022 16:24,01/12/2022 16:26,93,65,7,75,15,Yes
01/12/2022 16:51,01/12/2022 16:54,212,50,19,21,8,Yes
02/12/2022 02:15,02/12/2022 02:18,212,30,8,10,14,Yes
02/12/2022 04:36,02/12/2022 04:44,506,,,,8,Yes
02/12/2022 05:19,02/12/2022 05:22,184,25,11,75,10,Yes
02/12/2022 08:44,02/12/2022 08:56,730,60,7,10,10,Yes
02/12/2022 10:25,02/12/2022 10:32,422,20,7,80,,Yes
02/12/2022 17:16,02/12/2022 17:21,295,60,11,,10,Yes
03/12/2022 06:56,03/12/2022 07:00,258,,,,10,Yes
04/12/2022 19:51,04/12/2022 19:53,144,66,12,40,5,Yes
05/12/2022 08:30,05/12/2022 08:37,450,80,9,11,3,Yes
05/12/2022 10:34,05/12/2022 11:07,1971,34,8,7,6,Yes
05/12/2022 14:04,05/12/2022 14:07,233,75,7,3,7,Yes
06/12/2022 02:14,06/12/2022 02:21,396,31,8,,10,Yes
06/12/2022 10:07,06/12/2022 10:09,100,60,10,33,15,Yes
06/12/2022 10:08,06/12/2022 10:09,106,5,20,40,5,Yes
06/12/2022 15:07,06/12/2022 15:09,100,60,6,20,6,Yes
05/12/2022 22:16,06/12/2022 21:15,82759,90,8,2,8,Yes
07/12/2022 09:49,07/12/2022 09:52,143,95,7,10,8,Yes
07/12/2022 09:59,07/12/2022 10:04,255,40,8,71,15,Yes
07/12/2022 11:06,07/12/2022 11:24,1068,,8,,6,Yes
07/12/2022 11:42,07/12/2022 11:45,194,31,9,67,8,Yes
07/12/2022 12:07,07/12/2022 12:10,142,50,11,30,10,Yes
07/12/2022 09:28,07/12/2022 12:16,10076,90,3,10,5,Yes
07/12/2022 12:49,07/12/2022 13:06,1018,75,4,30,10,Yes
07/12/2022 13:15,07/12/2022 13:18,206,0,16,50,7,Yes
07/12/2022 22:22,07/12/2022 22:29,422,30,10,70,4,Yes
08/12/2022 10:09,08/12/2022 10:15,347,50,10,30,12,Yes
08/12/2022 10:28,08/12/2022 10:42,789,50,10,50,5,Yes
08/12/2022 11:10,08/12/2022 11:15,310,60,12,30,5,Yes
08/12/2022 11:18,08/12/2022 11:21,151,20,10,90,35,Yes
08/12/2022 11:52,08/12/2022 11:56,252,40,12,70,10,Yes
08/12/2022 10:16,08/12/2022 12:32,8182,30,14,,10,Yes
09/12/2022 08:22,09/12/2022 08:35,740,75,7,15,15,Yes
09/12/2022 15:52,09/12/2022 16:53,3620,82,8,58,6,Yes
09/12/2022 23:01,09/12/2022 23:04,216,10,13,20,20,Yes
10/12/2022 00:08,10/12/2022 00:16,509,25,16,50,12,Yes
10/12/2022 07:22,10/12/2022 07:25,174,10,16,80,5,Yes
10/12/2022 12:37,11/12/2022 14:52,94492,10,6,60,17,Yes
11/12/2022 21:12,11/12/2022 21:16,241,8,21,10,10,Yes
12/12/2022 13:50,12/12/2022 13:57,444,10,6,30,5,Yes
14/12/2022 16:48,14/12/2022 16:50,70,56,8,7,24,Yes
16/12/2022 15:47,16/12/2022 15:51,218,9,12,50,1,Yes
17/12/2022 17:42,17/12/2022 17:47,293,30,10,50,5,Yes
17/12/2022 21:24,17/12/2022 21:32,461,90,7,70,10,Yes
18/12/2022 03:28,18/12/2022 03:32,213,50,12,50,5,Yes
18/12/2022 18:56,18/12/2022 18:58,94,35,14,35,10,Yes
19/12/2022 06:40,19/12/2022 06:44,224,70,7,5,5,Yes
19/12/2022 08:15,19/12/2022 08:20,282,,7,50,,Yes
07/12/2022 13:32,19/12/2022 09:35,1022543,85,7,10,10,Yes
30/12/2022 08:29,30/12/2022 08:30,76,41,7,15,6,Yes